南二环 西铁营万达广场旁，中低楼层，业主诚心出售，满五年公房,2室1厅1卫,51.91平米,西南,中楼层/6层,简装,1995年建,右安门外,玉林里, ,单价62608元/m²,325
三环边温馨房，好楼层，店长推荐,2室1厅1卫,55.88平米,南北,低楼层/5层,精装,1990年建,宋家庄,横一条,距离地铁刘家窑872米 ,单价53329元/m²,298
西三环莲花池 3室2厅2卫 电梯房，有钥匙！,3室2厅2卫,111.47平米,南北,顶层/12层,精装,1999年建,六里桥,莲花池西里,距离地铁莲花桥606米 ,单价68180元/m²,760
首付170万 正规二居 满五年在京一套 随时看房,2室2厅1卫,79.02平米,东北,低楼层/27层,精装,2006年建,朝青,国美第一城2号院,距离地铁青年路1210米 ,单价57580元/m²,455
金台路地铁站 南北通透两居室 低楼层 满五年,2室1厅1卫,57.71平米,南北,低楼层/7层,简装,1988年建,甜水园,道家园,距离地铁金台路799米 ,单价61514元/m²,355
电梯大1居 南北通透 采光好 交通便利 视野好,1室1厅1卫,44.5平米,南北,中楼层/13层,简装,1983年建,西直门,明光村小区,距离地铁大钟寺1366米 ,单价84944元/m²,378
东三环 潘家园桥东 松榆西里二手房 电梯楼两居室,2室1厅1卫,61.01平米,西南,低楼层/18层,简装,1988年建,潘家园,松榆西里,距离地铁潘家园658米 ,单价60974元/m²,372
新天坛医院 丽泽商务区 好户型 中间层 南北透风,2室1厅1卫,80.7平米,南北,中楼层/6层,简装,1990年建,玉泉营,育芳园,距离地铁首经贸677米 ,单价48327元/m²,390
民安小区 双南两居 满五年家庭一套 看房方便 诚心出售,2室1厅1卫,70.85平米,南,中楼层/16层,精装,2003年建,东直门,民安小区东直门内北小街,距离地铁东直门34米 ,单价104869元/m²,743
满五唯一商品房 全明户型 安慧里二区 塔楼正规两居室,2室2厅1卫,69.48平米,西南,低楼层/25层,简装,1990年建,亚运村,安慧里二区,距离地铁惠新西街北口934米 ,单价74122元/m²,515
玉渊潭公园旁 南北通透双阳台两居 低楼层,2室1厅1卫,63.3平米,南北,低楼层/6层,简装,1992年建,军博,晾果厂,距离地铁军事博物馆581米 ,单价91627元/m²,580
五道口 学院路 东王庄新上两居室 业主诚意出售 看房方便,2室1厅1卫,62.9平米,南北,顶层/6层,精装,1993年建,五道口,东王庄小区,距离地铁清华东路西口542米 ,单价74404元/m²,468
（幸福我家）CBD东扩区 慈云寺 南北通透两居 有钥匙,2室1厅1卫,56.24平米,南北,顶层/6层,简装,1986年建,红庙,慈云寺,距离地铁大望路960米 ,单价55121元/m²,310
新上，不临街，东南大三居，高楼层，视野好，采光充足，有钥匙,3室1厅1卫,77.74平米,东南,高楼层/25层,精装,1990年建,亚运村,安苑北里,距离地铁惠新西街北口665米 ,单价70105元/m²,545
新上，小区中间，看房有钥匙，直对花园，明厨明卫，大客厅,2室2厅1卫,68.67平米,西南,低楼层/25层,简装,1990年建,亚运村,安苑北里,距离地铁惠新西街北口665米 ,单价71065元/m²,488
东城区 华龙美晟 南北三居室楼层低适宜老人居住,3室1厅2卫,113.87平米,南北,底层/12层,精装,2010年建,永定门,华龙美晟,距离地铁木樨园548米 ,单价60156元/m²,685
安交片区  中剪子巷 田字格局3居室 业主城售,3室1厅1卫,65.72平米,南北,底层/5层,简装,1983年建,交道口,中剪子巷甲6号院,距离地铁张自忠路443米 ,单价121576元/m²,799
弘善家园 经典全南一居 独立管理绿化率高近地铁,1室1厅1卫,60.64平米,南,高楼层/11层,简装,2012年建,潘家园,弘善家园,距离地铁十里河604米 ,单价49307元/m²,299
新上，公主坟商圈，单价低大两居，中间楼层，满五年公房,2室1厅1卫,58.2平米,东西,中楼层/6层,精装,1989年建,公主坟,北京量具厂宿舍,距离地铁西钓鱼台960米 ,单价80412元/m²,468
惠新北里中石化自管，南向全明两居，业主诚售.,2室1厅1卫,65.71平米,东南,低楼层/16层,精装,1993年建,惠新西街,惠新北里,距离地铁惠新西街北口373米 ,单价85223元/m²,560
安交区域 电梯南北通透大3居 封闭社区 满5年 有车位,3室1厅1卫,100.83平米,南北,中楼层/12层,简装,2003年建,交道口,交道口东大街,距离地铁北新桥324米 ,单价127740元/m²,1288
牛街 广安门 白纸坊 南向二室一厅一卫,2室1厅1卫,102.88平米,南,高楼层/25层,简装,1999年建,牛街,富明大厦,距离地铁广安门内152米 ,单价84565元/m²,870
爱家验真 旧宫新苑南区 次新小区 电梯房 南北通透,2室1厅1卫,84.24平米,南北,低楼层/19层,简装,2012年建,旧宫,旧宫新苑南区,距离地铁旧宫1018米 ,单价37987元/m²,320
和平里 精装通透三居室 独院管理 出门小公园 地铁口,3室1厅1卫,74.29平米,东西,高楼层/6层,精装,1989年建,和平里,和平里北街甲5号院,距离地铁柳芳204米 ,单价71342元/m²,530
机场生活区 南楼 南北通透2居室有钥匙 只有契税,1室1厅1卫,64.2平米,南北,顶层/6层,简装,1993年建,顺义城,南竺园一区, ,单价30374元/m²,195
现代城西向大三居 满五年 诚意出售,3室1厅2卫,148.5平米,西,低楼层/28层,精装,2000年建,CBD,SOHO现代城,距离地铁大望路202米 ,单价50842元/m²,755
宋家庄+两居室+2010年小区,2室2厅1卫,89.1平米,东南西,中楼层/20层,简装,2010年建,宋家庄,红狮家园,距离地铁宋家庄204米 ,单价50505元/m²,450
三里河全南高层，双卫电梯楼三居，高层观景好房，看房方便！,3室1厅2卫,107.09平米,南,中楼层/18层,精装,2001年建,月坛,三里河二区B区, ,单价151275元/m²,1620
长椿街西便门附近 南向一居 好楼层好朝向 满五年一套公房,1室1厅1卫,41.4平米,南,低楼层/6层,简装,1992年建,长椿街,西便门内大街97号院,距离地铁广安门内580米 ,单价113043元/m²,468
新上双花园南里一区，豪华装修，中楼层通透两居室。,2室1厅1卫,72.97平米,南北,中楼层/6层,精装,1997年建,双井,双花园南里一区,距离地铁广渠门外669米 ,单价76470元/m²,558
